route_id,fare_per_min,avg_fare_per_min,trip_duration_minutes
100_1,4.212899843,2.635825719,31.78333333
100_1,5.176733781,2.635825719,22.35
100_1,4.169369369,2.635825719,27.75
100_1,4.355037697,2.635825719,24.31666667
100_1,4.459770115,2.635825719,26.1
100_1,4.467741935,2.635825719,24.8
100_107,1.495652174,1.056001978,5.75
100_107,1.492537313,1.056001978,6.7
100_107,1.365994236,1.056001978,5.783333333
100_107,1.573170732,1.056001978,5.466666667
100_107,1.484042553,1.056001978,6.266666667
100_107,1.363057325,1.056001978,7.85
100_107,1.476635514,1.056001978,5.35
100_107,1.387096774,1.056001978,6.2
100_107,1.421052632,1.056001978,5.066666667
100_107,1.396153846,1.056001978,8.666666667
100_107,1.387096774,1.056001978,6.2
100_107,1.564356436,1.056001978,5.05
100_107,1.457627119,1.056001978,5.9
100_107,1.539568345,1.056001978,6.95
100_107,1.398373984,1.056001978,6.15
100_107,1.429844098,1.056001978,7.483333333
100_107,1.357894737,1.056001978,6.333333333
100_107,1.362068966,1.056001978,5.8
100_107,1.365957447,1.056001978,7.833333333
100_107,1.39083558,1.056001978,6.183333333
100_114,1.27532097,1.006491736,11.68333333
100_114,1.397849462,1.006491736,13.95
100_114,1.337016575,1.006491736,9.05
100_114,1.554404145,1.006491736,6.433333333
100_114,1.492537313,1.006491736,6.7
100_114,1.428571429,1.006491736,4.55
100_114,1.302681992,1.006491736,13.05
100_114,1.404255319,1.006491736,8.616666667
100_116,1.95273899,1.358014844,15.51666667
100_137,1.421052632,1.032048284,5.066666667
100_137,1.496259352,1.032048284,6.683333333
100_137,1.372997712,1.032048284,7.283333333
100_137,1.402597403,1.032048284,5.133333333
100_137,1.338983051,1.032048284,5.9
100_137,1.327433628,1.032048284,7.533333333
100_137,1.326478149,1.032048284,6.483333333
100_137,1.316666667,1.032048284,6
100_137,1.425742574,1.032048284,5.05
100_137,1.346590909,1.032048284,5.866666667
100_137,1.329230769,1.032048284,5.416666667
100_137,1.375796178,1.032048284,5.233333333
100_137,1.345008757,1.032048284,9.516666667
100_137,1.366742597,1.032048284,7.316666667
100_137,1.495268139,1.032048284,5.283333333
100_137,1.329192547,1.032048284,8.05
100_138,2.847457627,1.522697178,24.58333333
100_138,2.572559367,1.522697178,25.26666667
100_138,2.322811197,1.522697178,27.98333333
100_138,3.037383178,1.522697178,21.4
100_138,2.387878788,1.522697178,16.5
100_138,2.476267096,1.522697178,20.71666667
100_138,2.761904762,1.522697178,24.15
100_138,3.668122271,1.522697178,19.08333333
100_138,2.957746479,1.522697178,23.66666667
100_138,2.459192825,1.522697178,18.58333333
100_138,2.40622299,1.522697178,19.28333333
100_138,3.573487032,1.522697178,17.35
100_138,2.382406842,1.522697178,27.28333333
100_138,2.490421456,1.522697178,26.1
100_140,1.505576208,1.023114477,8.966666667
100_140,1.467391304,1.023114477,9.2
100_140,1.380243572,1.023114477,12.31666667
100_140,1.754098361,1.023114477,6.1
100_140,1.361022364,1.023114477,10.43333333
100_140,1.551724138,1.023114477,8.7
100_140,1.421052632,1.023114477,9.5
100_140,1.359292035,1.023114477,9.416666667
100_140,1.486322188,1.023114477,10.96666667
100_140,1.366548043,1.023114477,9.366666667
100_140,1.364431487,1.023114477,11.43333333
100_140,1.4304,1.023114477,10.41666667
100_142,1.694117647,1.067168997,4.25
100_142,1.854077253,1.067168997,3.883333333
100_142,1.711191336,1.067168997,4.616666667
100_142,1.725663717,1.067168997,3.766666667
100_142,1.608579088,1.067168997,6.216666667
100_142,2.108108108,1.067168997,3.083333333
100_142,1.618257261,1.067168997,4.016666667
100_142,1.921182266,1.067168997,3.383333333
100_142,1.710526316,1.067168997,3.8
100_142,1.933333333,1.067168997,3
100_142,1.6875,1.067168997,4.266666667
100_142,2.46835443,1.067168997,2.633333333
100_142,1.669014085,1.067168997,4.733333333
100_142,2.067567568,1.067168997,2.466666667
100_142,1.621212121,1.067168997,6.6
100_142,1.741071429,1.067168997,3.733333333
100_142,1.576642336,1.067168997,4.566666667
100_142,2.33557047,1.067168997,2.483333333
100_142,2.363636364,1.067168997,2.75
100_142,1.689473684,1.067168997,6.333333333
100_142,2.148148148,1.067168997,2.7
100_142,1.611570248,1.067168997,4.033333333
100_142,2.636363636,1.067168997,2.2
